metric,classifier,adjuster,dataset,column,value
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9699
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9672
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8939
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9555
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8716
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9678
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9686
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9091
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8558
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9696
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.899
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9511
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8603
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9675
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9644
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.904
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9511
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8606
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9691
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9615
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9141
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9488
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8533
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9656
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9629
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.899
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.95
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8559
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9647
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9658
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8939
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8558
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9651
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9629
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.904
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9466
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8482
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9639
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.96
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.899
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9477
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8498
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9663
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9629
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8939
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8558
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9673
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9658
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8939
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.951
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8619
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9692
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9629
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9091
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8561
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9645
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9672
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8889
Accuracy,HistGradientBoosting,Combat,gse62944,meta_er_status,0.9499
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,gse62944,meta_er_status,0.8557
ROC AUC,HistGradientBoosting,Combat,gse62944,meta_er_status,0.965
Sensitivity (TPR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.9643
Specificity (TNR),HistGradientBoosting,Combat,gse62944,meta_er_status,0.899
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
Specificity (TNR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9899
MCC (Matthews Corr Coef),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3459
Accuracy,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.5273
ROC AUC,HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.9166
Sensitivity (TPR),HistGradientBoosting,Combat,"Train on gse20194, Test on gse62944",meta_er_status,0.3966
