"variable","value","L1","iteration"
"n_Avg",0.935064935064935,"rf",19
"CS_Avg",0.935064935064935,"rf",19
"Reg_a",0.935064935064935,"rf",19
"Reg_s",0.935064935064935,"rf",19
"Batch",0.722222222222222,"svm",19
"ComBat",0.972972972972973,"svm",19
"Avg",0.972972972972973,"svm",19
"n_Avg",0.972972972972973,"svm",19
"CS_Avg",0.947368421052632,"svm",19
"Reg_a",0.972972972972973,"svm",19
"Reg_s",0.972972972972973,"svm",19
"Batch",0.929577464788732,"crossmod",19
"ComBat",0.891891891891892,"crossmod",19
"Avg",0.891891891891892,"crossmod",19
"n_Avg",0.972972972972973,"crossmod",19
"CS_Avg",0.935064935064935,"crossmod",19
"Reg_a",0.972972972972973,"crossmod",19
"Reg_s",0.972972972972973,"crossmod",19
"Batch",0.939393939393939,"lasso",20
"ComBat",0.927536231884058,"lasso",20
"Avg",0.895522388059702,"lasso",20
"n_Avg",0.861538461538462,"lasso",20
"CS_Avg",0.914285714285714,"lasso",20
"Reg_a",0.861538461538462,"lasso",20
"Reg_s",0.888888888888889,"lasso",20
"Batch",0.898550724637681,"rf",20
"ComBat",0.873239436619718,"rf",20
"Avg",0.898550724637681,"rf",20
"n_Avg",0.898550724637681,"rf",20
"CS_Avg",0.885714285714286,"rf",20
"Reg_a",0.898550724637681,"rf",20
"Reg_s",0.885714285714286,"rf",20
"Batch",0.852941176470588,"svm",20
"ComBat",0.955223880597015,"svm",20
"Avg",0.911764705882353,"svm",20
"n_Avg",0.925373134328358,"svm",20
"CS_Avg",0.914285714285714,"svm",20
"Reg_a",0.925373134328358,"svm",20
"Reg_s",0.892307692307692,"svm",20
"Batch",0.898550724637681,"crossmod",20
"ComBat",0.873239436619718,"crossmod",20
"Avg",0.911764705882353,"crossmod",20
"n_Avg",0.925373134328358,"crossmod",20
"CS_Avg",0.911764705882353,"crossmod",20
"Reg_a",0.925373134328358,"crossmod",20
"Reg_s",0.925373134328358,"crossmod",20
"Batch",0.923076923076923,"lasso",21
"ComBat",0.845070422535211,"lasso",21
"Avg",0.782608695652174,"lasso",21
"n_Avg",0.805970149253731,"lasso",21
"CS_Avg",0.869565217391304,"lasso",21
"Reg_a",0.805970149253731,"lasso",21
"Reg_s",0.861538461538462,"lasso",21
"Batch",0.90625,"rf",21
"ComBat",0.90625,"rf",21
"Avg",0.895522388059702,"rf",21
"n_Avg",0.895522388059702,"rf",21
"CS_Avg",0.909090909090909,"rf",21
"Reg_a",0.895522388059702,"rf",21
"Reg_s",0.923076923076923,"rf",21
"Batch",0.696969696969697,"svm",21
"ComBat",0.895522388059702,"svm",21
"Avg",0.909090909090909,"svm",21
"n_Avg",0.923076923076923,"svm",21
"CS_Avg",0.869565217391304,"svm",21
"Reg_a",0.923076923076923,"svm",21
"Reg_s",0.952380952380953,"svm",21
"Batch",0.90625,"crossmod",21
"ComBat",0.90625,"crossmod",21
"Avg",0.892307692307692,"crossmod",21
"n_Avg",0.9375,"crossmod",21
"CS_Avg",0.895522388059702,"crossmod",21
"Reg_a",0.952380952380953,"crossmod",21
"Reg_s",0.952380952380953,"crossmod",21
"Batch",0.923076923076923,"lasso",22
"ComBat",0.849315068493151,"lasso",22
"Avg",0.840579710144927,"lasso",22
"n_Avg",0.805970149253731,"lasso",22
"CS_Avg",0.885714285714286,"lasso",22
"Reg_a",0.805970149253731,"lasso",22
